sku,upc,name,brand,category,subcategory,size,price,list_price,discount_percentage,currency,available,stock_quantity,image_url,product_url,store,description,unit_price,rating,reviews_count,scraped_at,last_updated
MX1000010,750706436153,Nestlé Leche Entera 1L,Nestlé,Lácteos,Leche Entera,1L,29.83,29.83,0,MXN,False,220,https://cdn.grocery-store.mx/products/1000010.jpg,https://www.soriana.com.mx/producto/1000010,Walmart,Nestlé Leche Entera 1L - Producto de alta calidad para tu hogar,29.83,3.7,426,2025-11-18T16:20:48.466620,2025-11-18T16:20:48.466621
MX1000011,750244945596,Suandy Pan Tostado 270g,Suandy,Panadería,Pan Tostado,270g,38.04,38.04,0,MXN,True,253,https://cdn.grocery-store.mx/products/1000011.jpg,https://www.comercialmexicana.com.mx/producto/1000011,Comercial Mexicana,Suandy Pan Tostado 270g - Producto de alta calidad para tu hogar,38.04,4.6,219,2025-11-18T16:20:48.466629,2025-11-18T16:20:48.466630
MX1000012,750230641003,McCormick Pollo Empanizado 450g,McCormick,Congelados,Pollo Empanizado,450g,120.99,120.99,0,MXN,True,121,https://cdn.grocery-store.mx/products/1000012.jpg,https://www.chedraui.com.mx/producto/1000012,Soriana,McCormick Pollo Empanizado 450g - Producto de alta calidad para tu hogar,120.99,3.5,153,2025-11-18T16:20:48.466637,2025-11-18T16:20:48.466637
MX1000013,750690556340,Nestlé Cereal con Miel 350g,Nestlé,Cereales,Cereal con Miel,350g,71.07,93.33,23.9,MXN,True,488,https://cdn.grocery-store.mx/products/1000013.jpg,https://www.walmart.com.mx/producto/1000013,Bodega Aurrera,Nestlé Cereal con Miel 350g - Producto de alta calidad para tu hogar,71.07,3.9,87,2025-11-18T16:20:48.466648,2025-11-18T16:20:48.466649
MX1000014,750927796282,Peñafiel Agua Natural 600ml,Peñafiel,Bebidas,Agua Natural,600ml,10.86,11.71,7.3,MXN,True,0,https://cdn.grocery-store.mx/products/1000014.jpg,https://www.lacomer.com.mx/producto/1000014,Comercial Mexicana,Peñafiel Agua Natural 600ml - Producto de alta calidad para tu hogar,10.86,3.7,270,2025-11-18T16:20:48.466657,2025-11-18T16:20:48.466658
MX1000015,750445419878,Pepsi Refresco Cola 2L,Pepsi,Bebidas,Refresco Cola,2L,38.02,38.02,0,MXN,True,442,https://cdn.grocery-store.mx/products/1000015.jpg,https://www.bodegaaurrera.com.mx/producto/1000015,La Comer,Pepsi Refresco Cola 2L - Producto de alta calidad para tu hogar,38.02,3.9,328,2025-11-18T16:20:48.466665,2025-11-18T16:20:48.466666
MX1000016,750280004291,Marinela Chocolate 40g,Marinela,Botanas y Snacks,Chocolate,40g,12.08,12.08,0,MXN,True,436,https://cdn.grocery-store.mx/products/1000016.jpg,https://www.chedraui.com.mx/producto/1000016,Comercial Mexicana,Marinela Chocolate 40g - Producto de alta calidad para tu hogar,12.08,4.2,23,2025-11-18T16:20:48.466672,2025-11-18T16:20:48.466673
MX1000017,750108043789,Oroweat Pan de Caja Integral 680g,Oroweat,Panadería,Pan de Caja Integral,680g,50.44,50.44,0,MXN,True,0,https://cdn.grocery-store.mx/products/1000017.jpg,https://www.comercialmexicana.com.mx/producto/1000017,HEB,Oroweat Pan de Caja Integral 680g - Producto de alta calidad para tu hogar,50.44,4.2,173,2025-11-18T16:20:48.466681,2025-11-18T16:20:48.466682
MX1000018,750311381740,Sangría Señorial Refresco Cola 2L,Sangría Señorial,Bebidas,Refresco Cola,2L,42.53,42.53,0,MXN,True,281,https://cdn.grocery-store.mx/products/1000018.jpg,https://www.comercialmexicana.com.mx/producto/1000018,Soriana,Sangría Señorial Refresco Cola 2L - Producto de alta calidad para tu hogar,42.53,4.1,24,2025-11-18T16:20:48.466689,2025-11-18T16:20:48.466689
MX1000019,750931147585,Barcel Galletas Marías 200g,Barcel,Botanas y Snacks,Galletas Marías,200g,15.74,15.74,0,MXN,True,0,https://cdn.grocery-store.mx/products/1000019.jpg,https://www.walmart.com.mx/producto/1000019,HEB,Barcel Galletas Marías 200g - Producto de alta calidad para tu hogar,15.74,3.6,90,2025-11-18T16:20:48.466696,2025-11-18T16:20:48.466697
MX1000020,750725484731,McCormick Papas a la Francesa 1kg,McCormick,Congelados,Papas a la Francesa,1kg,63.63,63.63,0,MXN,True,0,https://cdn.grocery-store.mx/products/1000020.jpg,https://www.chedraui.com.mx/producto/1000020,La Comer,McCormick Papas a la Francesa 1kg - Producto de alta calidad para tu hogar,63.63,3.8,352,2025-11-18T16:20:48.466704,2025-11-18T16:20:48.466705
MX1000021,750659790167,Santa Clara Queso Crema 190g,Santa Clara,Lácteos,Queso Crema,190g,33.29,33.29,0,MXN,True,149,https://cdn.grocery-store.mx/products/1000021.jpg,https://www.soriana.com.mx/producto/1000021,Soriana,Santa Clara Queso Crema 190g - Producto de alta calidad para tu hogar,33.29,3.5,288,2025-11-18T16:20:48.466713,2025-11-18T16:20:48.466714
MX1000022,750117676832,Isadora Aceite Vegetal 1L,Isadora,Despensa,Aceite Vegetal,1L,54.83,66.79,17.9,MXN,True,125,https://cdn.grocery-store.mx/products/1000022.jpg,https://www.walmart.com.mx/producto/1000022,HEB,Isadora Aceite Vegetal 1L - Producto de alta calidad para tu hogar,54.83,3.7,429,2025-11-18T16:20:48.466722,2025-11-18T16:20:48.466722
MX1000023,750846936740,Ricolino Galletas Marías 200g,Ricolino,Botanas y Snacks,Galletas Marías,200g,17.22,20.59,16.4,MXN,True,418,https://cdn.grocery-store.mx/products/1000023.jpg,https://www.chedraui.com.mx/producto/1000023,La Comer,Ricolino Galletas Marías 200g - Producto de alta calidad para tu hogar,17.22,4.0,317,2025-11-18T16:20:48.466731,2025-11-18T16:20:48.466731
MX1000024,750108593680,Salvo Limpiador Multiusos Lavanda 1L,Salvo,Limpieza,Limpiador Multiusos Lavanda,1L,28.92,32.71,11.6,MXN,True,0,https://cdn.grocery-store.mx/products/1000024.jpg,https://www.comercialmexicana.com.mx/producto/1000024,Walmart,Salvo Limpiador Multiusos Lavanda 1L - Producto de alta calidad para tu hogar,28.92,5.0,424,2025-11-18T16:20:48.466739,2025-11-18T16:20:48.466739
MX1000025,750275570155,Santa Clara Yogurt Bebible 240ml,Santa Clara,Lácteos,Yogurt Bebible,240ml,16.26,16.26,0,MXN,True,213,https://cdn.grocery-store.mx/products/1000025.jpg,https://www.chedraui.com.mx/producto/1000025,La Comer,Santa Clara Yogurt Bebible 240ml - Producto de alta calidad para tu hogar,16.26,4.9,265,2025-11-18T16:20:48.466746,2025-11-18T16:20:48.466747
MX1000026,750901875120,FUD Salchicha de Pavo 500g,FUD,Carnes y Embutidos,Salchicha de Pavo,500g,56.14,56.14,0,MXN,True,217,https://cdn.grocery-store.mx/products/1000026.jpg,https://www.heb.com.mx/producto/1000026,Walmart,FUD Salchicha de Pavo 500g - Producto de alta calidad para tu hogar,56.14,4.4,331,2025-11-18T16:20:48.466753,2025-11-18T16:20:48.466754
MX1000027,750531014419,Salvo Detergente en Polvo 1kg,Salvo,Limpieza,Detergente en Polvo,1kg,64.21,64.21,0,MXN,False,225,https://cdn.grocery-store.mx/products/1000027.jpg,https://www.soriana.com.mx/producto/1000027,Bodega Aurrera,Salvo Detergente en Polvo 1kg - Producto de alta calidad para tu hogar,64.21,4.6,201,2025-11-18T16:20:48.466760,2025-11-18T16:20:48.466761
MX1000028,750817121834,Fud Queso Crema 190g,Fud,Lácteos,Queso Crema,190g,37.23,43.63,14.7,MXN,True,214,https://cdn.grocery-store.mx/products/1000028.jpg,https://www.walmart.com.mx/producto/1000028,Soriana,Fud Queso Crema 190g - Producto de alta calidad para tu hogar,37.23,4.2,347,2025-11-18T16:20:48.466768,2025-11-18T16:20:48.466769
MX1000029,750310335000,Aurrera Papas a la Francesa 1kg,Aurrera,Congelados,Papas a la Francesa,1kg,60.79,60.79,0,MXN,False,12,https://cdn.grocery-store.mx/products/1000029.jpg,https://www.heb.com.mx/producto/1000029,Chedraui,Aurrera Papas a la Francesa 1kg - Producto de alta calidad para tu hogar,60.79,4.8,190,2025-11-18T16:20:48.466775,2025-11-18T16:20:48.466776
MX1000030,750613492651,Oroweat Pan Tostado 270g,Oroweat,Panadería,Pan Tostado,270g,36.07,36.07,0,MXN,True,221,https://cdn.grocery-store.mx/products/1000030.jpg,https://www.chedraui.com.mx/producto/1000030,Chedraui,Oroweat Pan Tostado 270g - Producto de alta calidad para tu hogar,36.07,3.5,345,2025-11-18T16:20:48.466782,2025-11-18T16:20:48.466782
MX1000031,750836013261,Ricolino Galletas Marías 200g,Ricolino,Botanas y Snacks,Galletas Marías,200g,22.83,29.53,22.7,MXN,True,0,https://cdn.grocery-store.mx/products/1000031.jpg,https://www.bodegaaurrera.com.mx/producto/1000031,Soriana,Ricolino Galletas Marías 200g - Producto de alta calidad para tu hogar,22.83,4.1,371,2025-11-18T16:20:48.466789,2025-11-18T16:20:48.466790
MX1000032,750725162570,Electrolit Agua Natural 1.5L,Electrolit,Bebidas,Agua Natural,1.5L,16.35,16.35,0,MXN,True,319,https://cdn.grocery-store.mx/products/1000032.jpg,https://www.walmart.com.mx/producto/1000032,Bodega Aurrera,Electrolit Agua Natural 1.5L - Producto de alta calidad para tu hogar,16.35,4.9,406,2025-11-18T16:20:48.466799,2025-11-18T16:20:48.466799
MX1000033,750989734608,Wonder Pan de Caja Integral 680g,Wonder,Panadería,Pan de Caja Integral,680g,56.45,56.45,0,MXN,True,428,https://cdn.grocery-store.mx/products/1000033.jpg,https://www.heb.com.mx/producto/1000033,La Comer,Wonder Pan de Caja Integral 680g - Producto de alta calidad para tu hogar,56.45,4.1,31,2025-11-18T16:20:48.466806,2025-11-18T16:20:48.466806
MX1000034,750369819597,Delimex Verduras Mixtas 500g,Delimex,Congelados,Verduras Mixtas,500g,46.29,46.29,0,MXN,True,348,https://cdn.grocery-store.mx/products/1000034.jpg,https://www.chedraui.com.mx/producto/1000034,HEB,Delimex Verduras Mixtas 500g - Producto de alta calidad para tu hogar,46.29,4.5,128,2025-11-18T16:20:48.466812,2025-11-18T16:20:48.466813
MX1000035,750452977694,Ricolino Galletas Saladas 200g,Ricolino,Botanas y Snacks,Galletas Saladas,200g,24.17,24.17,0,MXN,True,78,https://cdn.grocery-store.mx/products/1000035.jpg,https://www.comercialmexicana.com.mx/producto/1000035,HEB,Ricolino Galletas Saladas 200g - Producto de alta calidad para tu hogar,24.17,3.5,170,2025-11-18T16:20:48.466821,2025-11-18T16:20:48.466822
MX1000036,750664453569,Maestro Limpio Detergente en Polvo 1kg,Maestro Limpio,Limpieza,Detergente en Polvo,1kg,67.43,67.43,0,MXN,True,336,https://cdn.grocery-store.mx/products/1000036.jpg,https://www.walmart.com.mx/producto/1000036,Soriana,Maestro Limpio Detergente en Polvo 1kg - Producto de alta calidad para tu hogar,67.43,4.5,33,2025-11-18T16:20:48.466829,2025-11-18T16:20:48.466830
MX1000037,750870570602,Zwan Pechuga de Pavo 250g,Zwan,Carnes y Embutidos,Pechuga de Pavo,250g,80.02,104.78,23.6,MXN,True,406,https://cdn.grocery-store.mx/products/1000037.jpg,https://www.chedraui.com.mx/producto/1000037,Bodega Aurrera,Zwan Pechuga de Pavo 250g - Producto de alta calidad para tu hogar,80.02,4.8,28,2025-11-18T16:20:48.466837,2025-11-18T16:20:48.466838
MX1000038,750384982953,Carlos V Chocolate 40g,Carlos V,Botanas y Snacks,Chocolate,40g,17.32,17.32,0,MXN,True,0,https://cdn.grocery-store.mx/products/1000038.jpg,https://www.heb.com.mx/producto/1000038,Walmart,Carlos V Chocolate 40g - Producto de alta calidad para tu hogar,17.32,4.3,31,2025-11-18T16:20:48.466844,2025-11-18T16:20:48.466844
MX1000039,750394663165,Maseca Atún en Agua 140g,Maseca,Despensa,Atún en Agua,140g,18.97,18.97,0,MXN,True,473,https://cdn.grocery-store.mx/products/1000039.jpg,https://www.comercialmexicana.com.mx/producto/1000039,Chedraui,Maseca Atún en Agua 140g - Producto de alta calidad para tu hogar,18.97,3.9,196,2025-11-18T16:20:48.466851,2025-11-18T16:20:48.466852
MX1000040,750102000938,Suave Gel para Cabello 250ml,Suave,Higiene Personal,Gel para Cabello,250ml,51.9,51.9,0,MXN,True,214,https://cdn.grocery-store.mx/products/1000040.jpg,https://www.comercialmexicana.com.mx/producto/1000040,HEB,Suave Gel para Cabello 250ml - Producto de alta calidad para tu hogar,51.9,4.5,43,2025-11-18T16:20:48.466860,2025-11-18T16:20:48.466860
MX1000041,750822450805,Delimex Verduras Mixtas 500g,Delimex,Congelados,Verduras Mixtas,500g,36.55,36.55,0,MXN,True,303,https://cdn.grocery-store.mx/products/1000041.jpg,https://www.soriana.com.mx/producto/1000041,Walmart,Delimex Verduras Mixtas 500g - Producto de alta calidad para tu hogar,36.55,3.7,382,2025-11-18T16:20:48.466867,2025-11-18T16:20:48.466868
MX1000042,750490966652,Delimex Pizza Congelada 400g,Delimex,Congelados,Pizza Congelada,400g,97.83,97.83,0,MXN,True,105,https://cdn.grocery-store.mx/products/1000042.jpg,https://www.soriana.com.mx/producto/1000042,Soriana,Delimex Pizza Congelada 400g - Producto de alta calidad para tu hogar,97.83,4.4,24,2025-11-18T16:20:48.466874,2025-11-18T16:20:48.466875
MX1000043,750445590089,Holanda Helado 1L,Holanda,Congelados,Helado,1L,69.51,69.51,0,MXN,True,190,https://cdn.grocery-store.mx/products/1000043.jpg,https://www.bodegaaurrera.com.mx/producto/1000043,Soriana,Holanda Helado 1L - Producto de alta calidad para tu hogar,69.51,3.7,162,2025-11-18T16:20:48.466883,2025-11-18T16:20:48.466883
MX1000044,750613682098,Maseca Mayonesa 385g,Maseca,Despensa,Mayonesa,385g,33.03,33.03,0,MXN,False,48,https://cdn.grocery-store.mx/products/1000044.jpg,https://www.chedraui.com.mx/producto/1000044,La Comer,Maseca Mayonesa 385g - Producto de alta calidad para tu hogar,33.03,4.3,339,2025-11-18T16:20:48.466890,2025-11-18T16:20:48.466890
MX1000045,750764005612,Totis Galletas Marías 200g,Totis,Botanas y Snacks,Galletas Marías,200g,18.39,23.55,21.9,MXN,True,305,https://cdn.grocery-store.mx/products/1000045.jpg,https://www.heb.com.mx/producto/1000045,HEB,Totis Galletas Marías 200g - Producto de alta calidad para tu hogar,18.39,4.2,336,2025-11-18T16:20:48.466897,2025-11-18T16:20:48.466898
MX1000046,750186225854,Gillette Jabón de Tocador 3pk x 90g,Gillette,Higiene Personal,Jabón de Tocador,3pk x 90g,36.38,43.55,16.5,MXN,True,404,https://cdn.grocery-store.mx/products/1000046.jpg,https://www.bodegaaurrera.com.mx/producto/1000046,Bodega Aurrera,Gillette Jabón de Tocador 3pk x 90g - Producto de alta calidad para tu hogar,36.38,4.8,362,2025-11-18T16:20:48.466905,2025-11-18T16:20:48.466906
MX1000047,750543915528,Del Valle Bebida Deportiva 500ml,Del Valle,Bebidas,Bebida Deportiva,500ml,19.94,19.94,0,MXN,True,303,https://cdn.grocery-store.mx/products/1000047.jpg,https://www.bodegaaurrera.com.mx/producto/1000047,Bodega Aurrera,Del Valle Bebida Deportiva 500ml - Producto de alta calidad para tu hogar,19.94,4.3,339,2025-11-18T16:20:48.466913,2025-11-18T16:20:48.466913
MX1000048,750878374157,Isadora Harina de Maíz 1kg,Isadora,Despensa,Harina de Maíz,1kg,28.75,28.75,0,MXN,True,310,https://cdn.grocery-store.mx/products/1000048.jpg,https://www.chedraui.com.mx/producto/1000048,HEB,Isadora Harina de Maíz 1kg - Producto de alta calidad para tu hogar,28.75,4.5,119,2025-11-18T16:20:48.466920,2025-11-18T16:20:48.466921
MX1000049,750907678092,Oscar Mayer Tocino 180g,Oscar Mayer,Carnes y Embutidos,Tocino,180g,68.18,68.18,0,MXN,True,0,https://cdn.grocery-store.mx/products/1000049.jpg,https://www.soriana.com.mx/producto/1000049,Bodega Aurrera,Oscar Mayer Tocino 180g - Producto de alta calidad para tu hogar,68.18,4.3,258,2025-11-18T16:20:48.466927,2025-11-18T16:20:48.466928
MX1000050,750762635153,Bimbo Roles de Canela 230g,Bimbo,Panadería,Roles de Canela,230g,40.27,40.27,0,MXN,True,100,https://cdn.grocery-store.mx/products/1000050.jpg,https://www.walmart.com.mx/producto/1000050,HEB,Bimbo Roles de Canela 230g - Producto de alta calidad para tu hogar,40.27,4.8,139,2025-11-18T16:20:48.466935,2025-11-18T16:20:48.466935
MX1000051,750328722911,Sedal Rastrillos Desechables 4pz,Sedal,Higiene Personal,Rastrillos Desechables,4pz,54.78,54.78,0,MXN,True,72,https://cdn.grocery-store.mx/products/1000051.jpg,https://www.bodegaaurrera.com.mx/producto/1000051,Bodega Aurrera,Sedal Rastrillos Desechables 4pz - Producto de alta calidad para tu hogar,54.78,4.4,57,2025-11-18T16:20:48.466943,2025-11-18T16:20:48.466944
MX1000052,750911631464,Búfalo Salsa Verde 210g,Búfalo,Despensa,Salsa Verde,210g,16.93,16.93,0,MXN,True,189,https://cdn.grocery-store.mx/products/1000052.jpg,https://www.soriana.com.mx/producto/1000052,Bodega Aurrera,Búfalo Salsa Verde 210g - Producto de alta calidad para tu hogar,16.93,3.9,76,2025-11-18T16:20:48.466952,2025-11-18T16:20:48.466952
MX1000053,750239830966,Alpura Queso Crema 190g,Alpura,Lácteos,Queso Crema,190g,44.4,44.4,0,MXN,False,121,https://cdn.grocery-store.mx/products/1000053.jpg,https://www.walmart.com.mx/producto/1000053,Comercial Mexicana,Alpura Queso Crema 190g - Producto de alta calidad para tu hogar,44.4,4.6,461,2025-11-18T16:20:48.466960,2025-11-18T16:20:48.466961
MX1000054,750535771142,Jumex Té Negro 1L,Jumex,Bebidas,Té Negro,1L,20.77,22.73,8.6,MXN,True,430,https://cdn.grocery-store.mx/products/1000054.jpg,https://www.comercialmexicana.com.mx/producto/1000054,Chedraui,Jumex Té Negro 1L - Producto de alta calidad para tu hogar,20.77,3.5,149,2025-11-18T16:20:48.466969,2025-11-18T16:20:48.466969
MX1000055,750115860317,Campofrio Salami 200g,Campofrio,Carnes y Embutidos,Salami,200g,56.91,56.91,0,MXN,True,223,https://cdn.grocery-store.mx/products/1000055.jpg,https://www.walmart.com.mx/producto/1000055,Bodega Aurrera,Campofrio Salami 200g - Producto de alta calidad para tu hogar,56.91,4.9,100,2025-11-18T16:20:48.466976,2025-11-18T16:20:48.466977
MX1000056,750789760136,Philadelphia Yogurt con Fruta 150g,Philadelphia,Lácteos,Yogurt con Fruta,150g,11.45,11.45,0,MXN,True,364,https://cdn.grocery-store.mx/products/1000056.jpg,https://www.comercialmexicana.com.mx/producto/1000056,Comercial Mexicana,Philadelphia Yogurt con Fruta 150g - Producto de alta calidad para tu hogar,11.45,3.7,438,2025-11-18T16:20:48.466983,2025-11-18T16:20:48.466984
MX1000057,750503399420,Chambourcy Queso Crema 190g,Chambourcy,Lácteos,Queso Crema,190g,40.2,40.2,0,MXN,True,240,https://cdn.grocery-store.mx/products/1000057.jpg,https://www.bodegaaurrera.com.mx/producto/1000057,La Comer,Chambourcy Queso Crema 190g - Producto de alta calidad para tu hogar,40.2,4.1,239,2025-11-18T16:20:48.466991,2025-11-18T16:20:48.466992
MX1000058,750646677899,Isadora Chiles Jalapeños 220g,Isadora,Despensa,Chiles Jalapeños,220g,16.94,22.53,24.8,MXN,True,467,https://cdn.grocery-store.mx/products/1000058.jpg,https://www.lacomer.com.mx/producto/1000058,La Comer,Isadora Chiles Jalapeños 220g - Producto de alta calidad para tu hogar,16.94,4.2,348,2025-11-18T16:20:48.467001,2025-11-18T16:20:48.467002
MX1000059,750821131664,Zwan Tocino 180g,Zwan,Carnes y Embutidos,Tocino,180g,63.44,76.62,17.2,MXN,True,390,https://cdn.grocery-store.mx/products/1000059.jpg,https://www.lacomer.com.mx/producto/1000059,Comercial Mexicana,Zwan Tocino 180g - Producto de alta calidad para tu hogar,63.44,3.6,320,2025-11-18T16:20:48.467009,2025-11-18T16:20:48.467010
MX1000060,750196363466,McCormick Frijoles Negros 580g,McCormick,Despensa,Frijoles Negros,580g,22.6,22.6,0,MXN,True,155,https://cdn.grocery-store.mx/products/1000060.jpg,https://www.lacomer.com.mx/producto/1000060,Chedraui,McCormick Frijoles Negros 580g - Producto de alta calidad para tu hogar,22.6,4.1,76,2025-11-18T16:20:48.467016,2025-11-18T16:20:48.467017
MX1000061,750894070332,Delimex Helado 1L,Delimex,Congelados,Helado,1L,89.27,89.27,0,MXN,False,229,https://cdn.grocery-store.mx/products/1000061.jpg,https://www.soriana.com.mx/producto/1000061,HEB,Delimex Helado 1L - Producto de alta calidad para tu hogar,89.27,3.7,494,2025-11-18T16:20:48.467025,2025-11-18T16:20:48.467026
MX1000062,750948912331,Suandy Pan Tostado 270g,Suandy,Panadería,Pan Tostado,270g,39.36,45.03,12.6,MXN,True,422,https://cdn.grocery-store.mx/products/1000062.jpg,https://www.chedraui.com.mx/producto/1000062,Walmart,Suandy Pan Tostado 270g - Producto de alta calidad para tu hogar,39.36,4.3,127,2025-11-18T16:20:48.467033,2025-11-18T16:20:48.467034
MX1000063,750764796376,Salvo Limpiador de Pisos 1L,Salvo,Limpieza,Limpiador de Pisos,1L,28.83,28.83,0,MXN,True,361,https://cdn.grocery-store.mx/products/1000063.jpg,https://www.lacomer.com.mx/producto/1000063,Soriana,Salvo Limpiador de Pisos 1L - Producto de alta calidad para tu hogar,28.83,3.7,412,2025-11-18T16:20:48.467041,2025-11-18T16:20:48.467042
MX1000064,750350573690,Wonder Pan de Caja Blanco 680g,Wonder,Panadería,Pan de Caja Blanco,680g,41.06,41.06,0,MXN,True,424,https://cdn.grocery-store.mx/products/1000064.jpg,https://www.walmart.com.mx/producto/1000064,Bodega Aurrera,Wonder Pan de Caja Blanco 680g - Producto de alta calidad para tu hogar,41.06,4.4,129,2025-11-18T16:20:48.467048,2025-11-18T16:20:48.467049
MX1000065,750199044855,McCormick Helado 1L,McCormick,Congelados,Helado,1L,71.84,77.9,7.8,MXN,True,172,https://cdn.grocery-store.mx/products/1000065.jpg,https://www.heb.com.mx/producto/1000065,HEB,McCormick Helado 1L - Producto de alta calidad para tu hogar,71.84,3.7,8,2025-11-18T16:20:48.467056,2025-11-18T16:20:48.467057
MX1000066,750983678993,Zote Limpiador Multiusos Lavanda 1L,Zote,Limpieza,Limpiador Multiusos Lavanda,1L,35.71,41.08,13.1,MXN,True,84,https://cdn.grocery-store.mx/products/1000066.jpg,https://www.lacomer.com.mx/producto/1000066,Comercial Mexicana,Zote Limpiador Multiusos Lavanda 1L - Producto de alta calidad para tu hogar,35.71,4.4,199,2025-11-18T16:20:48.467066,2025-11-18T16:20:48.467067
MX1000067,750774840054,FUD Mortadela 250g,FUD,Carnes y Embutidos,Mortadela,250g,45.68,45.68,0,MXN,True,61,https://cdn.grocery-store.mx/products/1000067.jpg,https://www.soriana.com.mx/producto/1000067,Comercial Mexicana,FUD Mortadela 250g - Producto de alta calidad para tu hogar,45.68,4.2,249,2025-11-18T16:20:48.467073,2025-11-18T16:20:48.467074
MX1000068,750333160223,Carlos V Galletas Marías 200g,Carlos V,Botanas y Snacks,Galletas Marías,200g,22.29,22.29,0,MXN,True,125,https://cdn.grocery-store.mx/products/1000068.jpg,https://www.bodegaaurrera.com.mx/producto/1000068,Comercial Mexicana,Carlos V Galletas Marías 200g - Producto de alta calidad para tu hogar,22.29,4.5,225,2025-11-18T16:20:48.467082,2025-11-18T16:20:48.467082
MX1000069,750467996342,KIR Salchicha de Pavo 500g,KIR,Carnes y Embutidos,Salchicha de Pavo,500g,74.9,74.9,0,MXN,True,358,https://cdn.grocery-store.mx/products/1000069.jpg,https://www.lacomer.com.mx/producto/1000069,Walmart,KIR Salchicha de Pavo 500g - Producto de alta calidad para tu hogar,74.9,3.8,259,2025-11-18T16:20:48.467089,2025-11-18T16:20:48.467089
